ProductKey,SKU,Product,Model,Subcategory,Category,StandardCost,ListPrice
310,BK-R93R-62,"Road-150 Red, 62",Road-150,Road Bikes,Bikes,2171.29,3578.27
346,BK-M82S-44,"Mountain-100 Silver, 44",Mountain-100,Mountain Bikes,Bikes,1912.15,3399.99
336,BK-R50B-62,"Road-650 Black, 62",Road-650,Road Bikes,Bikes,413.15,699.1
311,BK-R93R-44,"Road-150 Red, 44",Road-150,Road Bikes,Bikes,2171.29,3578.27
351,BK-M82B-48,"Mountain-100 Black, 48",Mountain-100,Mountain Bikes,Bikes,1898.09,3374.99
344,BK-M82S-38,"Mountain-100 Silver, 38",Mountain-100,Mountain Bikes,Bikes,1912.15,3399.99
312,BK-R93R-48,"Road-150 Red, 48",Road-150,Road Bikes,Bikes,2171.29,3578.27
330,BK-R50R-52,"Road-650 Red, 52",Road-650,Road Bikes,Bikes,413.15,699.1
313,BK-R93R-52,"Road-150 Red, 52",Road-150,Road Bikes,Bikes,2171.29,3578.27
314,BK-R93R-56,"Road-150 Red, 56",Road-150,Road Bikes,Bikes,2171.29,3578.27
332,BK-R50B-58,"Road-650 Black, 58",Road-650,Road Bikes,Bikes,413.15,699.1
350,BK-M82B-44,"Mountain-100 Black, 44",Mountain-100,Mountain Bikes,Bikes,1898.09,3374.99
347,BK-M82S-48,"Mountain-100 Silver, 48",Mountain-100,Mountain Bikes,Bikes,1912.15,3399.99
345,BK-M82S-42,"Mountain-100 Silver, 42",Mountain-100,Mountain Bikes,Bikes,1912.15,3399.99
326,BK-R50R-44,"Road-650 Red, 44",Road-650,Road Bikes,Bikes,413.15,699.1
342,BK-R50B-52,"Road-650 Black, 52",Road-650,Road Bikes,Bikes,413.15,699.1
328,BK-R50R-48,"Road-650 Red, 48",Road-650,Road Bikes,Bikes,413.15,699.1
338,BK-R50B-44,"Road-650 Black, 44",Road-650,Road Bikes,Bikes,413.15,699.1
348,BK-M82B-38,"Mountain-100 Black, 38",Mountain-100,Mountain Bikes,Bikes,1898.09,3374.99
349,BK-M82B-42,"Mountain-100 Black, 42",Mountain-100,Mountain Bikes,Bikes,1898.09,3374.99
324,BK-R50R-62,"Road-650 Red, 62",Road-650,Road Bikes,Bikes,413.15,699.1
322,BK-R50R-60,"Road-650 Red, 60",Road-650,Road Bikes,Bikes,413.15,699.1
334,BK-R50B-60,"Road-650 Black, 60",Road-650,Road Bikes,Bikes,413.15,699.1
320,BK-R50R-58,"Road-650 Red, 58",Road-650,Road Bikes,Bikes,413.15,699.1
340,BK-R50B-48,"Road-650 Black, 48",Road-650,Road Bikes,Bikes,413.15,699.1
385,BK-R64Y-42,"Road-550-W Yellow, 42",Road-550-W,Road Bikes,Bikes,605.65,1000.44
371,BK-R89R-58,"Road-250 Red, 58",Road-250,Road Bikes,Bikes,1320.68,2181.56
331,BK-R50R-52,"Road-650 Red, 52",Road-650,Road Bikes,Bikes,486.71,782.99
